BIOME_CODE,BIOME
1,Tropical and Subtropical Moist Broadleaf Forests
2,Tropical and Subtropical Dry Broadleaf Forests
3,Tropical and Subtropical Coniferous Forests
4,Temperate Broadleaf and Mixed Forests
5,Temperate Coniferous Forests
6,Boreal Forests/Taiga
7,"Tropical and subtropical grasslands, savannas, and shrublands"
8,"Temperate Grasslands, Savannas, and Shrublands"
9,Flooded Grasslands and Savannas
10,Montane Grasslands and Shrublands
11,Tundra
12,"Mediterranean Forests, Woodlands, and Scrub"
13,Deserts and Xeric Shrublands
14,Mangroves
15,Large Rivers
16,Large River Headwaters
17,Large River Deltas
18,Small Rivers
19,Large Lakes
20,Small Lakes
21,Xeric Basins
22,Polar
23,Temperate Shelf and Seas
24,Temperate Upwelling
25,Tropical Upwelling
26,Tropical Coral
